Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"1月 15, 2016",0,0,1,1,1,0,1,0,1,1,1,0
"1月 22, 2016",0,0,1,1,1,1,1,0,1,1,1,0
"1月 29, 2016",0,0,1,1,1,0,1,0,1,0,1,1
"2月 05, 2016",0,1,0,0,1,0,1,1,1,1,1,1
"2月 12, 2016",1,0,1,1,1,1,1,1,1,1,0,0
"2月 19, 2016",0,0,1,1,0,1,0,0,1,1,0,1
"2月 26, 2016",1,0,1,1,0,0,0,1,1,1,0,0
"3月 04, 2016",1,0,1,1,0,0,0,0,0,1,0,0
"3月 11, 2016",1,0,1,1,0,1,0,0,0,1,0,1
"3月 18, 2016",0,0,1,1,0,0,0,1,1,1,0,0
"3月 25, 2016",1,0,1,1,0,0,0,0,0,0,1,1
"4月 01, 2016",1,0,0,0,1,1,1,1,0,1,0,1
"4月 08, 2016",0,0,1,1,0,0,0,1,1,1,0,0
"4月 15, 2016",1,1,1,1,0,1,0,0,0,1,1,0
"4月 22, 2016",0,1,1,1,1,0,1,0,1,1,1,0
"4月 29, 2016",1,0,1,1,1,1,1,0,1,0,0,0
"5月 06, 2016",1,1,0,0,0,1,0,0,0,1,0,0
"5月 13, 2016",1,0,1,1,0,0,0,0,0,0,1,0
"5月 20, 2016",0,0,0,0,1,1,1,0,0,0,0,0
"5月 27, 2016",0,0,0,0,0,0,0,0,0,0,0,1
"6月 03, 2016",1,0,0,0,1,1,0,1,0,0,0,1
"6月 10, 2016",0,0,0,0,0,0,0,1,0,0,0,1
"6月 17, 2016",1,0,0,0,1,1,0,1,0,0,1,0
"6月 24, 2016",1,0,0,0,1,1,1,0,0,0,1,0
"7月 01, 2016",0,0,0,0,0,0,1,0,0,0,0,1
"7月 08, 2016",0,1,0,0,1,1,0,1,0,0,1,0
"7月 15, 2016",1,0,0,0,1,0,1,0,0,1,1,0
"7月 22, 2016",0,0,1,1,1,0,1,0,1,1,0,1
"7月 29, 2016",1,0,1,1,0,0,0,1,0,1,0,0
"8月 05, 2016",0,0,1,1,0,0,0,0,1,0,0,1
"8月 12, 2016",1,0,0,0,0,1,0,1,0,1,0,1
"8月 19, 2016",0,0,1,1,1,1,0,1,1,1,0,1
"8月 26, 2016",0,0,1,1,0,1,0,1,1,0,0,1
"9月 02, 2016",1,1,0,0,0,0,0,1,0,0,1,1
"9月 09, 2016",0,0,0,0,1,0,1,1,0,0,0,1
"9月 16, 2016",0,0,0,0,0,0,0,1,0,0,1,0
"9月 23, 2016",0,0,0,0,1,1,1,0,0,0,1,0
"9月 30, 2016",0,0,0,0,1,0,1,0,1,1,0,0
"10月 07, 2016",0,0,1,1,0,0,0,0,1,0,1,0
"10月 14, 2016",0,0,0,0,1,1,1,0,1,0,0,0
"10月 21, 2016",1,0,0,0,0,0,0,0,1,1,0,0
"10月 28, 2016",0,0,1,1,0,0,0,0,1,1,0,0
"11月 04, 2016",1,0,1,1,0,1,0,0,0,1,1,1
"11月 11, 2016",1,0,1,1,1,0,1,1,0,0,1,1
"11月 18, 2016",1,0,0,0,1,0,1,1,0,0,1,1
"11月 25, 2016",0,0,0,0,1,1,1,1,0,0,1,1
"12月 02, 2016",1,0,0,0,1,1,1,1,0,0,1,0
"12月 09, 2016",1,1,0,0,1,0,1,0,0,1,0,0
"12月 16, 2016",1,0,1,1,0,1,0,0,0,1,0,0
"12月 23, 2016",0,0,1,1,0,1,0,0,0,0,1,1
"12月 30, 2016",1,0,0,0,1,1,1,1,0,1,1,1
"1月 06, 2017",1,1,1,1,1,1,1,1,0,1,1,0
"1月 13, 2017",0,0,1,1,1,1,1,0,1,1,1,1
"1月 20, 2017",0,0,1,1,1,0,1,1,1,1,1,1
"1月 27, 2017",0,0,1,1,1,0,1,1,1,1,0,1
"2月 03, 2017",0,0,1,1,0,0,0,1,1,1,1,0
"2月 10, 2017",0,0,1,1,1,1,1,0,1,1,0,0
"2月 17, 2017",0,0,1,1,0,0,0,0,1,1,1,0
"2月 24, 2017",1,0,1,1,0,0,1,0,1,1,0,0
"3月 03, 2017",0,0,1,1,0,0,0,0,1,0,0,0
"3月 10, 2017",0,1,0,0,0,0,0,0,0,1,0,0
"3月 17, 2017",1,0,1,1,0,0,0,0,1,1,0,0
"3月 24, 2017",1,0,1,1,0,0,0,0,0,1,1,0
"3月 31, 2017",1,0,1,1,0,0,1,0,0,0,0,0
"4月 07, 2017",1,1,0,0,0,0,0,0,0,0,1,0
"4月 14, 2017",1,0,0,0,1,0,1,0,0,0,1,1
"4月 21, 2017",1,0,0,0,1,1,1,1,0,0,1,0
"4月 28, 2017",0,0,0,0,1,0,1,0,0,0,0,0
"5月 05, 2017",0,0,0,0,0,1,0,0,0,0,0,0
"5月 12, 2017",1,0,0,0,0,1,0,0,0,0,0,0
"5月 19, 2017",1,0,0,0,0,0,0,0,0,0,0,1
"5月 26, 2017",1,0,0,0,0,0,0,1,0,1,1,1
"6月 02, 2017",0,1,1,1,1,1,1,1,0,0,1,1
"6月 09, 2017",1,0,0,0,1,1,1,1,0,0,1,1
"6月 16, 2017",0,0,0,0,0,0,1,1,0,1,0,0
"6月 23, 2017",0,0,0,1,0,1,0,0,1,0,0,0
"6月 30, 2017",1,0,0,0,0,0,0,0,0,0,0,1
"7月 07, 2017",1,0,0,0,0,1,0,1,0,0,0,0
"7月 14, 2017",0,0,0,0,0,0,0,0,0,0,0,0
"7月 21, 2017",1,0,0,0,0,0,0,0,0,0,0,0
"7月 28, 2017",1,0,0,0,0,0,0,0,0,0,1,0
"8月 04, 2017",1,0,0,0,1,1,1,0,0,0,1,1
"8月 11, 2017",0,0,0,0,1,0,1,1,0,0,0,1
