Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"3月 11, 2005",180,0,4235,2593,-2930,-3493,563,-1939,0.2,1,0,0
"3月 18, 2005",-150,0,5808,4097,-4059,-2654,-1405,-2759,0.3,1,0,0
"3月 25, 2005",222,0,6893,5383,-2935,-2926,-9,-1076,0.2,1,0,1
"4月 01, 2005",352,0,3424,2802,-2106,371,-2477,672,0,1,1,0
"4月 08, 2005",-288,113,4905,3654,848,-194,1042,-117,0.2,0,0,1
"4月 15, 2005",137,0,-720,-1773,-1464,594,-2058,51,-0.2,1,0,0
"4月 22, 2005",-83,0,6351,5415,-330,188,-518,-1443,0.3,1,1,0
"4月 29, 2005",92,7,3155,2680,2201,1338,863,-318,0.2,1,0,1
"5月 06, 2005",-26,0,3232,2435,187,1223,-1036,1695,0.1,1,0,0
"5月 13, 2005",158,0,4798,4343,1071,1924,-853,-219,0.2,0,0,1
"5月 20, 2005",319,0,-1245,-1687,609,681,-72,1896,-0.2,1,1,1
"5月 27, 2005",243,0,1874,1488,1304,1013,291,783,-0.2,0,1,1
"6月 03, 2005",-26,84,-2351,-2995,-31,-1538,1507,1291,-0.4,0,1,1
"6月 10, 2005",281,0,-787,-1783,-905,-1608,703,2427,-0.3,0,1,1
"6月 17, 2005",-386,0,-951,-1579,197,-717,914,1374,-0.2,1,0,1
"6月 24, 2005",315,0,1341,1104,301,1512,-1211,1636,0,0,0,1
"7月 01, 2005",194,0,-3069,-3569,-974,-803,-171,4067,-0.3,0,0,1
"7月 08, 2005",-384,0,-3199,-3899,-2625,-434,-2191,3193,-0.2,0,1,1
"7月 15, 2005",-500,0,-416,-900,-1319,-3806,2487,2226,0.1,0,0,1
"7月 22, 2005",173,0,-1729,-2245,-2128,-1375,-753,3137,0,1,0,1
"7月 29, 2005",283,0,401,196,-4017,-3302,-715,1485,0.1,1,0,1
"8月 05, 2005",-64,0,3482,2754,-2086,-1713,-373,2598,0.2,1,0,1
"8月 12, 2005",-331,0,1064,241,-4969,-2959,-2010,1191,0,1,0,1
"8月 19, 2005",35,0,2327,1852,-3245,-1656,-1589,1426,0.2,0,0,1
"8月 26, 2005",572,0,-1251,-1520,-508,-478,-30,2745,-0.2,0,0,0
"9月 02, 2005",-1629,0,-6425,-6425,-4302,-3804,-498,-816,0,0,1,0
"9月 09, 2005",50,0,-7860,-6560,1892,1731,161,-1105,-0.1,0,1,1
"9月 16, 2005",660,0,-3058,-322,3472,2649,823,820,0.1,0,1,0
"9月 23, 2005",-709,0,-3376,-2412,4400,3249,1151,-573,0.4,0,0,0
"9月 30, 2005",-2905,0,-2496,-246,-4377,-3766,-611,-5526,0.9,1,0,0
"10月 07, 2005",868,0,-1804,926,-2651,-565,-2086,-3407,0.9,1,0,0
"10月 14, 2005",702,0,3735,5555,2907,3422,-515,-1915,1.3,1,1,0
"10月 21, 2005",311,0,2814,4414,159,-48,207,-1622,0.8,1,0,0
